"lat","lon"
42.2813637143504,-83.155584997047
42.2813637143504,-83.1295741057351
42.3073746056623,-83.1295741057351
42.3073746056623,-83.1035632144232
42.3333854969742,-83.2336176709827
42.3333854969742,-83.155584997047
42.3333854969742,-83.1295741057351
42.3333854969742,-83.1035632144232
42.3333854969742,-83.0775523231113
42.3333854969742,-83.0515414317994
42.3333854969742,-83.0255305404875
42.3333854969742,-82.9995196491756
42.3593963882861,-83.2596285622946
42.3593963882861,-83.2336176709827
42.3593963882861,-83.2076067796708
42.3593963882861,-83.1815958883589
42.3593963882861,-83.155584997047
42.3593963882861,-83.1295741057351
42.3593963882861,-83.1035632144232
42.3593963882861,-83.0775523231113
42.3593963882861,-83.0515414317994
42.3593963882861,-83.0255305404875
42.3593963882861,-82.9995196491756
42.3593963882861,-82.9735087578637
42.3593963882861,-82.9474978665518
42.385407279598,-83.2596285622946
42.385407279598,-83.2336176709827
42.385407279598,-83.2076067796708
42.385407279598,-83.1815958883589
42.385407279598,-83.155584997047
42.385407279598,-83.1295741057351
42.385407279598,-83.1035632144232
42.385407279598,-83.0775523231113
42.385407279598,-83.0255305404875
42.385407279598,-82.9995196491756
42.385407279598,-82.9735087578637
42.385407279598,-82.9474978665518
42.4114181709099,-83.2856394536065
42.4114181709099,-83.2596285622946
42.4114181709099,-83.2336176709827
42.4114181709099,-83.2076067796708
42.4114181709099,-83.1815958883589
42.4114181709099,-83.155584997047
42.4114181709099,-83.1295741057351
42.4114181709099,-83.0775523231113
42.4114181709099,-83.0515414317994
42.4114181709099,-83.0255305404875
42.4114181709099,-82.9995196491756
42.4114181709099,-82.9735087578637
42.4114181709099,-82.9474978665518
42.4114181709099,-82.9214869752399
42.4374290622218,-83.2856394536065
42.4374290622218,-83.2596285622946
42.4374290622218,-83.2336176709827
42.4374290622218,-83.2076067796708
42.4374290622218,-83.1815958883589
42.4374290622218,-83.155584997047
42.4374290622218,-83.1295741057351
42.4374290622218,-83.1035632144232
42.4374290622218,-83.0775523231113
